realtime_start,value,date,realtime_end
12/6/2019,239638,1/1/1986,12/6/2019
12/6/2019,239788,2/1/1986,12/6/2019
12/6/2019,239928,3/1/1986,12/6/2019
12/6/2019,240094,4/1/1986,12/6/2019
12/6/2019,240271,5/1/1986,12/6/2019
12/6/2019,240459,6/1/1986,12/6/2019
12/6/2019,240651,7/1/1986,12/6/2019
12/6/2019,240854,8/1/1986,12/6/2019
12/6/2019,241068,9/1/1986,12/6/2019
12/6/2019,241274,10/1/1986,12/6/2019
12/6/2019,241467,11/1/1986,12/6/2019
12/6/2019,241620,12/1/1986,12/6/2019
12/6/2019,241784,1/1/1987,12/6/2019
12/6/2019,241930,2/1/1987,12/6/2019
12/6/2019,242079,3/1/1987,12/6/2019
12/6/2019,242252,4/1/1987,12/6/2019
12/6/2019,242423,5/1/1987,12/6/2019
12/6/2019,242608,6/1/1987,12/6/2019
12/6/2019,242804,7/1/1987,12/6/2019
12/6/2019,243012,8/1/1987,12/6/2019
12/6/2019,243223,9/1/1987,12/6/2019
12/6/2019,243446,10/1/1987,12/6/2019
12/6/2019,243639,11/1/1987,12/6/2019
12/6/2019,243809,12/1/1987,12/6/2019
12/6/2019,243981,1/1/1988,12/6/2019
12/6/2019,244131,2/1/1988,12/6/2019
12/6/2019,244279,3/1/1988,12/6/2019
12/6/2019,244445,4/1/1988,12/6/2019
12/6/2019,244610,5/1/1988,12/6/2019
12/6/2019,244806,6/1/1988,12/6/2019
12/6/2019,245021,7/1/1988,12/6/2019
12/6/2019,245240,8/1/1988,12/6/2019
12/6/2019,245464,9/1/1988,12/6/2019
12/6/2019,245693,10/1/1988,12/6/2019
12/6/2019,245884,11/1/1988,12/6/2019
12/6/2019,246056,12/1/1988,12/6/2019
12/6/2019,246224,1/1/1989,12/6/2019
12/6/2019,246378,2/1/1989,12/6/2019
12/6/2019,246530,3/1/1989,12/6/2019
12/6/2019,246721,4/1/1989,12/6/2019
12/6/2019,246906,5/1/1989,12/6/2019
12/6/2019,247114,6/1/1989,12/6/2019
12/6/2019,247342,7/1/1989,12/6/2019
12/6/2019,247573,8/1/1989,12/6/2019
12/6/2019,247816,9/1/1989,12/6/2019
12/6/2019,248067,10/1/1989,12/6/2019
12/6/2019,248281,11/1/1989,12/6/2019
12/6/2019,248479,12/1/1989,12/6/2019
12/6/2019,248659,1/1/1990,12/6/2019
12/6/2019,248827,2/1/1990,12/6/2019
12/6/2019,249012,3/1/1990,12/6/2019
12/6/2019,249306,4/1/1990,12/6/2019
12/6/2019,249565,5/1/1990,12/6/2019
12/6/2019,249849,6/1/1990,12/6/2019
12/6/2019,250132,7/1/1990,12/6/2019
12/6/2019,250439,8/1/1990,12/6/2019
12/6/2019,250751,9/1/1990,12/6/2019
12/6/2019,251057,10/1/1990,12/6/2019
12/6/2019,251346,11/1/1990,12/6/2019
12/6/2019,251626,12/1/1990,12/6/2019
12/6/2019,251889,1/1/1991,12/6/2019
12/6/2019,252135,2/1/1991,12/6/2019
12/6/2019,252372,3/1/1991,12/6/2019
12/6/2019,252643,4/1/1991,12/6/2019
12/6/2019,252913,5/1/1991,12/6/2019
12/6/2019,253207,6/1/1991,12/6/2019
12/6/2019,253493,7/1/1991,12/6/2019
12/6/2019,253807,8/1/1991,12/6/2019
12/6/2019,254126,9/1/1991,12/6/2019
12/6/2019,254435,10/1/1991,12/6/2019
12/6/2019,254718,11/1/1991,12/6/2019
12/6/2019,254964,12/1/1991,12/6/2019
12/6/2019,255214,1/1/1992,12/6/2019
12/6/2019,255448,2/1/1992,12/6/2019
12/6/2019,255703,3/1/1992,12/6/2019
12/6/2019,255992,4/1/1992,12/6/2019
12/6/2019,256285,5/1/1992,12/6/2019
12/6/2019,256589,6/1/1992,12/6/2019
12/6/2019,256894,7/1/1992,12/6/2019
12/6/2019,257232,8/1/1992,12/6/2019
12/6/2019,257548,9/1/1992,12/6/2019
12/6/2019,257861,10/1/1992,12/6/2019
12/6/2019,258147,11/1/1992,12/6/2019
12/6/2019,258413,12/1/1992,12/6/2019
12/6/2019,258679,1/1/1993,12/6/2019
12/6/2019,258919,2/1/1993,12/6/2019
12/6/2019,259152,3/1/1993,12/6/2019
12/6/2019,259414,4/1/1993,12/6/2019
12/6/2019,259680,5/1/1993,12/6/2019
12/6/2019,259963,6/1/1993,12/6/2019
12/6/2019,260255,7/1/1993,12/6/2019
12/6/2019,260566,8/1/1993,12/6/2019
12/6/2019,260867,9/1/1993,12/6/2019
12/6/2019,261163,10/1/1993,12/6/2019
12/6/2019,261425,11/1/1993,12/6/2019
12/6/2019,261674,12/1/1993,12/6/2019
12/6/2019,261919,1/1/1994,12/6/2019
12/6/2019,262123,2/1/1994,12/6/2019
12/6/2019,262352,3/1/1994,12/6/2019
12/6/2019,262631,4/1/1994,12/6/2019
12/6/2019,262877,5/1/1994,12/6/2019
12/6/2019,263152,6/1/1994,12/6/2019
12/6/2019,263436,7/1/1994,12/6/2019
12/6/2019,263724,8/1/1994,12/6/2019
12/6/2019,264017,9/1/1994,12/6/2019
12/6/2019,264301,10/1/1994,12/6/2019
12/6/2019,264559,11/1/1994,12/6/2019
